BiGG	SEED
HMR_1095	rxn08730
Ht	rxn08730
Htcx	rxn08730
Htex	rxn08730
Htg	rxn08730
Hth	rxn08730
Htl	rxn08730
Htm	rxn08730
Htm_cho	rxn08730
Htmi	rxn08730
Htr	rxn08730
Hts	rxn08730
Htu	rxn08730
Htx	rxn08730
PCXHtpp	rxn08730
GALTpts	rxn05567
GALTptspp	rxn05567
EX_galt_e	rxn08587
GALTt	rxn08587
GALTtex	rxn08587
GALh	rxn00187
GALm	rxn00187
GLNS	rxn00187
GAM	rxn00189
GLUN	rxn00189
GLUNm	rxn00189
GLUNpp	rxn00189
EX_gam6p_e	rxn05568
GAM6Pt	rxn05568
GAMAN6Ptex	rxn05568
GAM6Pt6_2pp	rxn08590
GAMpts	rxn05569
GAMptspp	rxn05569
EX_gam_e	rxn08593
GAMt1r	rxn08593
GAMtex	rxn08593
GART	rxn04783
EX_ga_e	rxn12797
GAt1	rxn12797
GAt2pp	rxn12798
GCALDD	rxn00979
GCALDDm	rxn00979
EX_gcald_e	rxn09680
GCALDt	rxn09680
GCALDtm	rxn09680
SK_gcald_c	rxn09680
GCAROtu	rxn33009
GCATENEC	rxn11574
LCYB	rxn11574
LYCBC2_h	rxn11574
GCC2	rxn09498
GCC2bim	rxn09498
GCC2am	rxn09499
GCC2cm	rxn01241
PDHcr	rxn01241
PDHe3hr	rxn01241
GCL	rxn00646
GLUCYS	rxn00646
GCLDH	rxn35210
GDBTALDH	rxn02273
GDH_nadp	rxn00184
GLUDy	rxn00184
GLUDym	rxn00184
GDPDPK	rxn08598
GDPTPDP	rxn26396
GDPt3g	rxn09705
EX_gdp_e	rxn08600
GDPtex	rxn08600
GDPtg	rxn08600
GDPtn	rxn08600
GDR	rxn00070
GDRh	rxn00070
GDRm	rxn00070
GDR_nadp_h	rxn00086
GTHOm	rxn00086
GTHOr	rxn00086
GDTP	rxn02449
GTPDPDP	rxn02449
GF4GL_3	rxn10528
GF4GL_4	rxn10529
GF4GL_5	rxn10530
GF4GL_6	rxn10531
GGDPtu	rxn32719
GGGABADr	rxn05127
GGGABAH	rxn05128
GGGPS	rxn17641
GGPP	rxn04038
GGPS	rxn03635
GGTAe2	rxn00350
GTHRDH_syn	rxn00350
GTHRDHpp	rxn00350
GHMT2r	rxn00692
GHMT2rc	rxn00692
GHMT2rm	rxn00692
GHMT3	rxn02351
GHMT3m	rxn02351
HTMLA_m	rxn02351
GK1	rxn00239
GK1er	rxn00239
GK1m	rxn00239
GK2	rxn09562
GLCDe	rxn08608
GLCDpp	rxn08608
GLCGLYCabcpp_syn	rxn05194
GLCNACT	rxn35300
GLCNt2ir	rxn05571
GLCNt2r	rxn05571
GLCNt2rpp	rxn05571
EX_glcn__D_e	rxn08610
EX_glcn_e	rxn08610
GLCNte	rxn08610
GLCNtex	rxn08610
GLCOAS	rxn01730
GLCRAL	rxn01990
GLCRAL_1	rxn01990
GLCURt2r	rxn05574
GLCURt2rpp	rxn05574
GLCURtly	rxn05574
EX_glcur_e	rxn08623
GLCURter	rxn08623
GLCURtex	rxn08623
GLCURtr	rxn08623
GLCabc	rxn05147
GLCabcpp	rxn05147
GLCpts	rxn05226
GLCptspp	rxn05226
GLCt2	rxn05573
GLCt2pp	rxn05573
GLMS_syn	rxn12822
GLTS_h	rxn12822
GLUS_ferr	rxn12822
GLUSfx	rxn12822
GLNLASEer	rxn02100
GLNSP1	rxn03406
GLNabc	rxn05155
GLNabcpp	rxn05155
EX_gln__L_e	rxn08625
GLNt	rxn08625
GLNtex	rxn08625
GLNtm	rxn08625
SK_gln__L_c	rxn08625
GLNt2n	rxn09678
GLNt2r	rxn09678
GLNt7	rxn09678
GLNth	rxn09678
GLNtm_1	rxn09678
GLNt4	rxn05216
GLNt6	rxn13301
GLRASE	rxn02278
GLU4ABUTthi	rxn08628
GLU4ABUTtmi	rxn08628
GLUABUTt7	rxn08628
GLUABUTt7pp	rxn08628
GLU5K	rxn00179
GLU5Km	rxn00179
GLUK	rxn09502
GLUNA1th	rxn05298
GLUNA1tm	rxn05298
GLUt4	rxn05298
GLUt4pp	rxn05298
GLUPRT	rxn00790
PRDPARh	rxn00790
GLUR	rxn00193
GLTS_m	rxn00069
GLUS	rxn00069
GLUSx	rxn00069
GLUS_nadph	rxn00085
GLUSy	rxn00085
GLU_Dt2	rxn05672
GLUabc	rxn05146
GLUabcpp	rxn05146
GLUt2m	rxn05297
GLUt2n	rxn05297
GLUt2r	rxn05297
GLUt2rpp	rxn05297
GLUt7	rxn05297
GLUth	rxn05297
GLXCBL	rxn00010
GLXCL	rxn00010
GLXO1	rxn05734
GLXO2p	rxn00325
GLXO3r	rxn00325
EX_glx_e	rxn09839
GLXt	rxn09839
GLXt_h	rxn09839
GLXtm	rxn09839
GLXtp	rxn09839
GLXt2	rxn05577
EX_glyc3p_e	rxn08643
GLY3Pt	rxn08643
GLYC3Ptex	rxn08643
GLYC3Pth	rxn08643
GLYC3Ptm	rxn08643
GLYC3tr	rxn08643
GLY3Pt2	rxn05578
GLYALDDr	rxn01286
r0393	rxn01286
EX_glyald_e	rxn08635
GLYALDt	rxn08635
GLYALDtex	rxn08635
GLYALDtpp	rxn08635
GLYAMDTR	rxn00404
GLYAMDTRc	rxn00404
GLYAT	rxn00273
GLYATm	rxn00273
GLYATx	rxn00273
GLYBabc	rxn05181
GLYBabcpp	rxn05181
GLYBt2pp	rxn05579
GLYBt2r	rxn05579
EX_glyb_e	rxn08639
GLYBtex	rxn08639
GLYBtm	rxn08639
GLYC2Pabcpp	rxn29217
EX_glyc2p_e	rxn08640
GLYC2Ptex	rxn08640
GLYC3Pabc	rxn05158
GLYC3Pabcpp	rxn05158
GLYC3Pt6	rxn08642
GLYC3Pt6pp	rxn08642
r2472	rxn08642
GLYCDH	rxn00768
GLYCDH_1	rxn01011
HPYRRx	rxn01011
HPYRRx_1	rxn01011
GLYCDx	rxn00762
GLYCDy	rxn00764
GLYCK	rxn01102
GLYCK_1	rxn01102
GLYPT	rxn01102
r0340	rxn01102
GLYCK2	rxn08647
GLYCL	rxn00908
GLYCL_2	rxn00908
GLYCLm	rxn00908
GLYCLTD_m	rxn00512
GLYCLTDx	rxn00512
GLYCLTDy	rxn00324
GLYCLTDym	rxn00324
GLYCLTt2r	rxn05470
GLYCLTt2rpp	rxn05470
HPYRRy	rxn01013
GLYCTO1	rxn00333
GLYCTO1p	rxn00333
GOX_m	rxn00333
GLYCTO2	rxn08655
GLYCTO3	rxn08656
GLYCTO4	rxn08657
EX_glyc_e	rxn05581
GLYCt	rxn05581
GLYCtc	rxn05581
GLYCtex	rxn05581
GLYCtg	rxn05581
GLYCtm	rxn05581
GLYCtpp	rxn05581
GLYCt2	rxn12529
GLYCth	rxn12529
GLYK	rxn00615
GLYK1	rxn00615
GLYKg	rxn00615
GLYKm	rxn00615
GLYLEUHYDROc	rxn12845
GLYNA1th	rxn08661
GLYNA1tm	rxn08661
GLYt4	rxn08661
GLYt4pp	rxn08661
GLYO1	rxn00269
GLYOp	rxn00269
GLYOX	rxn01274
GLYOXc	rxn01274
GLYOXm	rxn01274
GLYOX3	rxn08659
GLYOX_1	rxn01834
LGTHL	rxn01834
LGTHLc	rxn01834
GLYPROPRO1c	rxn18042
GLYTA	rxn00275
GLYTA_1	rxn00275
GLYabc	rxn10862
GLYabcpp	rxn10862
GLYt2m	rxn05582
GLYt2pp	rxn05582
GLYt2r	rxn05582
GLYt2rL	rxn05582
GLYth	rxn05582
GLYtx	rxn05582
EX_gly_e	rxn05218
GLYitr	rxn05218
GLYt	rxn05218
GLYtc	rxn05218
GLYtex	rxn05218
GLYtm	rxn05218
GLYtp	rxn05218
GLYtpp	rxn05218
SK_gly_c	rxn05218
GMP5N	rxn00913
NTD9	rxn00913
NTD9e	rxn00913
NTD9l	rxn00913
NTD9pp	rxn00913
GMPR	rxn00837
GMPS	rxn00916
GMPSm	rxn00916
GMPS2	rxn00917
GMPS_glu_m	rxn00917
GMPt6	rxn05471
EX_gmp_e	rxn08664
GMPter	rxn08664
GMPtex	rxn08664
GMPtg	rxn08664
GMPtm	rxn08664
GMPtn	rxn08664
GMPtn_1	rxn08664
HMR_7727	rxn08664
GND	rxn01115
GNDc	rxn01115
GNDer	rxn01115
PGDHh	rxn01115
GNK	rxn01275
GNK_1	rxn01275
GNKg	rxn01275
GNKh	rxn01275
GNKr	rxn01275
GNMT	rxn00270
GP4GH	rxn08667
GPDDA1	rxn00758
GPDDA1_1	rxn00758
GPDDA1pp	rxn00758
GPDDA2_1	rxn08669
GPDDA4	rxn08669
GPDDA4pp	rxn08669
GRDPt_c	rxn35575
GRDPth	rxn35575
GRTT2	rxn10538
GSNK	rxn00914
GSNKm	rxn00914
EX_gsn_e	rxn08672
GSNt	rxn08672
GSNtex	rxn08672
GSNtl	rxn08672
GSNtm	rxn08672
GSNt2	rxn05204
GSNt2m	rxn05204
GSNt2pp	rxn05204
GTHAMPOR	rxn03983
GTHAMPORh	rxn03983
GTHAMPORm	rxn03983
EX_gthox_e	rxn08674
GTHOXtex	rxn08674
GTHOXtg	rxn08674
GTHOXti	rxn08674
GTHOXtm	rxn08674
GTHOXtu	rxn08674
HMR_9628	rxn08674
GTHP_api	rxn00205
GTHPe	rxn00205
GTHPi	rxn00205
GTHPm	rxn00205
GTHPx	rxn00205
GTHRDabc2pp	rxn08675
GTHRDt	rxn08675
r1530	rxn08675
GTHRDabcpp	rxn08676
GTHRDabcv	rxn08676
GTHRDt2_1	rxn08676
EX_gthrd_e	rxn08677
GTHRDt2	rxn08677
GTHRDtex	rxn08677
GTHRDtm	rxn08677
GTHRDtr	rxn08677
GTHRDtu	rxn08677
Gthrdtg	rxn08677
GTHS	rxn00351
GTHS_1	rxn00351
GTHS_h	rxn00351
GTPCIII	rxn10539
GTPDPK	rxn00303
GTPDPK_1	rxn00303
GTPH1	rxn10791
GTPHs	rxn08679
GTPOPm	rxn00304
PYK3	rxn00304
GTPt2m	rxn13307
EX_gtp_e	rxn08680
GTPt_h	rxn08680
GTPtex	rxn08680
GTPtn	rxn08680
GUDBUTNAH	rxn01462
GUI1	rxn01080
GULN3D	rxn01913
GULND	rxn01079
GULNDer	rxn01079
H2ASE_syn	rxn07200
H2CO3D	rxn00102
H2CO3Dm	rxn00102
HCO3E	rxn00102
HCO3E_1_cx	rxn00102
HCO3Ee	rxn00102
HCO3Ehi	rxn00102
HCO3Em	rxn00102
HCO3En	rxn00102
EX_h2co3_e	rxn10826
EX_hco3_e	rxn10826
H2CO3TP	rxn10826
HCO3t	rxn10826
HCO3t2cax	rxn10826
HCO3tc	rxn10826
HCO3tcx	rxn10826
HCO3tex	rxn10826
HCO3tn	rxn10826
r0941	rxn10826
H2CO3_NAt_syn	rxn12800
HCO3_NAt	rxn12800
NAHCO3t_h	rxn12800
NAHCO3t_m	rxn12800
H2O2syn	rxn04958
H2SO	rxn08688
EX_HC00250_e	rxn08689
EX_h2s_e	rxn08689
H2St1	rxn08689
H2St1pp	rxn08689
H2St_h	rxn08689
H2St_m	rxn08689
H2Stex	rxn08689
r0940	rxn08689
DM_h2_c	rxn08691
EX_h2_e	rxn08691
H2td	rxn08691
H2tex	rxn08691
H2th	rxn08691
H2tm	rxn08691
H2tpp	rxn08691
H4MPTGL_atp	rxn10543
H4MPTGL_gtp	rxn10544
H4MPTS10	rxn10545
H4MPTS11	rxn10546
H4MPTS12	rxn10547
H4MPTS13	rxn10548
H4MPTS15	rxn10550
H4MPTS16	rxn10551
HACD2	rxn03249
HACD2_1	rxn03249
HACD2i	rxn03249
HACD2m	rxn03249
HMR_3100	rxn03249
r0733	rxn03249
HACD4	rxn03244
HACD4i	rxn03244
HACD4m	rxn03244
HACD4p	rxn03244
HACD5	rxn03242
HACD5i	rxn03242
HACD5m	rxn03242
HACD5p	rxn03242
HACD6	rxn06777
HACD6i	rxn06777
HACD6m	rxn06777
HACD6p	rxn06777
HACD7	rxn03239
HACD7i	rxn03239
HACD7m	rxn03239
HACD7p	rxn03239
r0714	rxn03239
r0714_1	rxn03239
r0715	rxn03239
HACD8	rxn08700
HACD8i	rxn08700
HACD8p	rxn08700
HADH180_m	rxn08700
HACD9	rxn02933
HACD9m	rxn02933
HACNHm	rxn03034
HADPCOADH	rxn12773
HADPCOADH3	rxn04750
HASD	rxn10553
HATGH	rxn10554
HATIH	rxn10555
HATSH	rxn10556
HBZOPT	rxn03893
HBZOPTm	rxn03893
HBZOPT10m	rxn21734
HCINNMt2r	rxn08701
HCINNMt2rpp	rxn08701
EX_3hcinnm_e	rxn08702
HCINNMtex	rxn08702
AACT	rxn00202
HCITS	rxn00202
HCITSm	rxn00202
HCITSn	rxn00202
HCO3_h_thi	rxn34228
HCO3_h_ti	rxn34228
HCO3_h_tmi	rxn34228
HCYSMT	rxn00452
HCYSt2p	rxn09837
DM_hcys__L_c	rxn33393
EX_hcys__L_e	rxn33393
HCYSte	rxn33393
HCYStex	rxn33393
HCYSth	rxn33393
HCYStm	rxn33393
HDC	rxn00866
HISDC	rxn00866
HDCACBP	rxn31577
